Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
Tula Oblast,2021-03-10 05:24:35,34056,1344,31529.0,1183.0,2282.7955799993965,3.946441155743481
Tver Oblast,2021-03-10 05:24:35,34948,661,32603.0,1684.0,2722.076093196134,1.8913814810575715
Tyumen Oblast,2021-03-10 05:24:35,32041,305,30224.0,1512.0,867.7553894485973,0.9519053712430948
Tyva Republic,2021-03-10 05:24:35,15697,193,14644.0,860.0,4879.0570741198935,1.2295343059183284
Udmurt Republic,2021-03-10 05:24:35,28900,673,25645.0,2582.0,1910.056812624088,2.328719723183391
Ulyanovsk Oblast,2021-03-10 05:24:35,48600,857,45171.0,2572.0,3898.5479112286207,1.7633744855967075
Vladimir Oblast,2021-03-10 05:24:35,28390,918,25572.0,1900.0,2059.7284989084674,3.2335329341317367
Volgograd Oblast,2021-03-10 05:24:35,50820,831,48603.0,1386.0,2015.646045891049,1.6351829988193625
Vologda Oblast,2021-03-10 05:24:35,40510,834,37476.0,2200.0,3442.710860728706,2.058750925697358
Voronezh Oblast,2021-03-10 05:24:35,70371,2028,64554.0,3789.0,3015.338285553663,2.8818689516988534
Yamalo-Nenets Autonomous Okrug,2021-03-10 05:24:35,37426,403,35645.0,1378.0,6949.4398817559095,1.076791535296318
Yaroslavl Oblast,2021-03-10 05:24:35,33917,436,32534.0,947.0,2679.7368063434474,1.2854910516849958
Zabaykalsky Krai,2021-03-10 05:24:35,39497,553,37796.0,1148.0,3681.65353288479,1.4001063371901663
