,Время,Направление,Unnamed: 2,Рейс,Статус
123,Совершил посадку в 18:54,Совершил посадку в 18:54,,UT 279ЮТэйр,ПрилетелВыдача багажа: лента 7
124,19:20,Москва,,"S7 1175, B2 165, SQ 1921S7 Airlines, Белавиа, Singapore Airlines",ПрилетелВыдача багажа: лента 8
125,Совершил посадку в 19:00,Совершил посадку в 19:00,,"S7 1175, B2 165, SQ 1921S7 Airlines, Белавиа, Singapore Airlines",ПрилетелВыдача багажа: лента 8
126,19:20,Москва,,EY 7865Etihad Airways,ПрилетелВыдача багажа: лента 8
127,Совершил посадку в 19:00,Совершил посадку в 19:00,,EY 7865Etihad Airways,ПрилетелВыдача багажа: лента 8
128,19:20,Москва,,QR 5681Qatar Airways,ПрилетелВыдача багажа: лента 8
129,Совершил посадку в 19:00,Совершил посадку в 19:00,,QR 5681Qatar Airways,ПрилетелВыдача багажа: лента 8
130,19:25,Владивосток,,U6 366Уральские авиалинии,ПрилетелВыдача багажа: лента 9
131,Совершил посадку в 19:23,Совершил посадку в 19:23,,U6 366Уральские авиалинии,ПрилетелВыдача багажа: лента 9
132,19:50,Москва,,SU 1404Аэрофлот,ПрилетелВыдача багажа: лента 10
133,Совершил посадку в 19:27,Совершил посадку в 19:27,,SU 1404Аэрофлот,ПрилетелВыдача багажа: лента 10
134,19:50,Саратов,,WZ 1048Red Wings,ПрилетелВыдача багажа: лента 8
135,Совершил посадку в 19:43,Совершил посадку в 19:43,,WZ 1048Red Wings,ПрилетелВыдача багажа: лента 8
136,20:00,Уфа,,UT 106ЮТэйр,ПрилетелВыдача багажа: лента 7
137,Совершил посадку в 19:32,Совершил посадку в 19:32,,UT 106ЮТэйр,ПрилетелВыдача багажа: лента 7
138,20:20,Санкт-Петербург,,DP 581Победа,ПрилетелВыдача багажа: лента 10
139,Совершил посадку в 20:12,Совершил посадку в 20:12,,DP 581Победа,ПрилетелВыдача багажа: лента 10
140,20:25,Новосибирск,,S7 5019S7 Airlines,ПрилетелВыдача багажа: лента 8
141,Совершил посадку в 20:08,Совершил посадку в 20:08,,S7 5019S7 Airlines,ПрилетелВыдача багажа: лента 8
142,20:45,Москва,,WZ 425Red Wings,ПрилетелВыдача багажа: лента 7
143,Совершил посадку в 20:22,Совершил посадку в 20:22,,WZ 425Red Wings,ПрилетелВыдача багажа: лента 7
144,21:20,Санкт-Петербург,,"FV 6403, SU 6403Россия, Аэрофлот",ПрилетелВыдача багажа: лента 9
145,Совершил посадку в 21:05,Совершил посадку в 21:05,,"FV 6403, SU 6403Россия, Аэрофлот",ПрилетелВыдача багажа: лента 9
146,21:30,Москва,,7R 7769РусЛайн,ПрилетелВыдача багажа: лента 7
147,Совершил посадку в 21:56,Совершил посадку в 21:56,,7R 7769РусЛайн,ПрилетелВыдача багажа: лента 7
148,22:00,Москва,,"SU 1414, JL 8457, JU 7106Аэрофлот, Japan Airlines, Air Serbia",ПрилетелВыдача багажа: лента 8
149,Совершил посадку в 21:37,Совершил посадку в 21:37,,"SU 1414, JL 8457, JU 7106Аэрофлот, Japan Airlines, Air Serbia",ПрилетелВыдача багажа: лента 8
150,22:00,Санкт-Петербург,,U6 173Уральские авиалинии,ПрилетелВыдача багажа: лента 10
151,Совершил посадку в 21:44,Совершил посадку в 21:44,,U6 173Уральские авиалинии,ПрилетелВыдача багажа: лента 10
152,22:00,Москва,,U6 299Уральские авиалинии,ПрилетелВыдача багажа: лента 9
153,Совершил посадку в 21:50,Совершил посадку в 21:50,,U6 299Уральские авиалинии,ПрилетелВыдача багажа: лента 9
154,22:05,Минеральные Воды,,U6 206Уральские авиалинии,ПрилетелВыдача багажа: лента 8
155,Совершил посадку в 21:54,Совершил посадку в 21:54,,U6 206Уральские авиалинии,ПрилетелВыдача багажа: лента 8
156,22:10,Калининград,,U6 404Уральские авиалинии,ПрилетелВыдача багажа: лента 8
157,Совершил посадку в 22:19,Совершил посадку в 22:19,,U6 404Уральские авиалинии,ПрилетелВыдача багажа: лента 8
158,22:15,Франкфурт-на-Майне,,U6 3810Уральские авиалинии,Нет актуальной информации о статусе
159,,,,U6 3810Уральские авиалинии,Нет актуальной информации о статусе
160,22:25,Казань,,"7R 862, UT 4862РусЛайн, ЮТэйр",ПрилетелВыдача багажа: лента 7
161,Совершил посадку в 22:00,Совершил посадку в 22:00,,"7R 862, UT 4862РусЛайн, ЮТэйр",ПрилетелВыдача багажа: лента 7
162,22:25,Сочи,,U6 322Уральские авиалинии,ПрилетелВыдача багажа: лента 10
