,Время,Направление,Unnamed: 2,Рейс,Терминал,Статус
657,Совершил посадку в 18:29,Совершил посадку в 18:29,,SU 1575Аэрофлот,B,ПрилетелВыдача багажа: лента 6
658,18:55,Париж,,SU 2455Аэрофлот,D,ПрилетелВыдача багажа: лента 8
659,Совершил посадку в 18:39,Совершил посадку в 18:39,,SU 2455Аэрофлот,D,ПрилетелВыдача багажа: лента 8
660,19:00,Баку,,SU 1855Аэрофлот,D,ПрилетелВыдача багажа: лента 9
661,Совершил посадку в 18:21,Совершил посадку в 18:21,,SU 1855Аэрофлот,D,ПрилетелВыдача багажа: лента 9
662,19:00,Санкт-Петербург,,SU 23Аэрофлот,B,ПрилетелВыдача багажа: лента 3
663,Совершил посадку в 18:52,Совершил посадку в 18:52,,SU 23Аэрофлот,B,ПрилетелВыдача багажа: лента 3
664,19:00,Санкт-Петербург,,JU 7027Air Serbia,B,ПрилетелВыдача багажа: лента 3
665,Совершил посадку в 18:52,Совершил посадку в 18:52,,JU 7027Air Serbia,B,ПрилетелВыдача багажа: лента 3
666,19:05,Калининград,,SU 1005Аэрофлот,B,ПрилетелВыдача багажа: лента 5
667,Совершил посадку в 18:32,Совершил посадку в 18:32,,SU 1005Аэрофлот,B,ПрилетелВыдача багажа: лента 5
668,19:15,Ларнака,,SU 2073Аэрофлот,D,ПрилетелВыдача багажа: лента 6
669,Совершил посадку в 18:44,Совершил посадку в 18:44,,SU 2073Аэрофлот,D,ПрилетелВыдача багажа: лента 6
670,19:15,Минеральные Воды,,SU 1311Аэрофлот,B,ПрилетелВыдача багажа: лента 6
671,Совершил посадку в 18:45,Совершил посадку в 18:45,,SU 1311Аэрофлот,B,ПрилетелВыдача багажа: лента 6
672,19:20,Афины,,SU 2111Аэрофлот,D,ПрилетелВыдача багажа: лента 7
673,Совершил посадку в 18:35,Совершил посадку в 18:35,,SU 2111Аэрофлот,D,ПрилетелВыдача багажа: лента 7
674,19:20,Екатеринбург,,"SU 1413, JU 7016Аэрофлот, Air Serbia",B,ПрилетелВыдача багажа: лента 1
675,Совершил посадку в 18:58,Совершил посадку в 18:58,,"SU 1413, JU 7016Аэрофлот, Air Serbia",B,ПрилетелВыдача багажа: лента 1
676,19:25,Нижнекамск,,"FV 6250, SU 6250Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
677,Совершил посадку в 18:51,Совершил посадку в 18:51,,"FV 6250, SU 6250Россия, Аэрофлот",B,ПрилетелВыдача багажа: лента 2
678,19:30,Варшава,,LO 677Lot,D,ПрилетелВыдача багажа: лента 7
