City,Airport,IATA,ICAO,Date,Arrivals,Departures
Грозный,Грозный,GRV,URMG,2020-09-18,6,6
Грозный,Грозный,GRV,URMG,2020-09-17,6,6
Грозный,Грозный,GRV,URMG,2020-09-16,6,6
Грозный,Грозный,GRV,URMG,2020-09-15,6,6
Грозный,Грозный,GRV,URMG,2020-09-14,6,6
Грозный,Грозный,GRV,URMG,2020-09-13,6,6
Грозный,Грозный,GRV,URMG,2020-09-12,6,6
Грозный,Грозный,GRV,URMG,2020-09-11,5,6
Грозный,Грозный,GRV,URMG,2020-09-10,5,6
Грозный,Грозный,GRV,URMG,2020-09-09,5,6
Грозный,Грозный,GRV,URMG,2020-09-08,5,6
Грозный,Грозный,GRV,URMG,2020-09-07,5,6
Грозный,Грозный,GRV,URMG,2020-09-06,5,6
Грозный,Грозный,GRV,URMG,2020-09-05,6,6
Грозный,Грозный,GRV,URMG,2020-09-04,6,6
Грозный,Грозный,GRV,URMG,2020-09-03,6,6
Грозный,Грозный,GRV,URMG,2020-09-02,6,6
Грозный,Грозный,GRV,URMG,2020-09-01,6,6
Грозный,Грозный,GRV,URMG,2020-08-31,6,6
Грозный,Грозный,GRV,URMG,2020-08-30,5,6
Грозный,Грозный,GRV,URMG,2020-08-29,5,5
Грозный,Грозный,GRV,URMG,2020-08-28,5,5
Грозный,Грозный,GRV,URMG,2020-08-27,5,5
Грозный,Грозный,GRV,URMG,2020-08-26,6,5
Грозный,Грозный,GRV,URMG,2020-08-25,5,5
Грозный,Грозный,GRV,URMG,2020-08-24,6,5
Грозный,Грозный,GRV,URMG,2020-08-23,6,5
Грозный,Грозный,GRV,URMG,2020-08-22,5,5
Грозный,Грозный,GRV,URMG,2020-08-21,5,5
Грозный,Грозный,GRV,URMG,2020-08-20,5,5
Грозный,Грозный,GRV,URMG,2020-08-19,5,5
Грозный,Грозный,GRV,URMG,2020-08-18,5,5
Грозный,Грозный,GRV,URMG,2020-08-17,5,5
Грозный,Грозный,GRV,URMG,2020-08-16,5,5
Грозный,Грозный,GRV,URMG,2020-08-15,5,4
Грозный,Грозный,GRV,URMG,2020-08-14,5,5
Грозный,Грозный,GRV,URMG,2020-08-13,5,5
Грозный,Грозный,GRV,URMG,2020-08-12,5,5
Грозный,Грозный,GRV,URMG,2020-08-11,5,5
Грозный,Грозный,GRV,URMG,2020-08-10,6,5
Грозный,Грозный,GRV,URMG,2020-08-09,5,6
Грозный,Грозный,GRV,URMG,2020-08-08,5,5
Грозный,Грозный,GRV,URMG,2020-08-07,5,5
Грозный,Грозный,GRV,URMG,2020-08-06,5,5
Грозный,Грозный,GRV,URMG,2020-08-05,5,5
Грозный,Грозный,GRV,URMG,2020-08-04,5,5
Грозный,Грозный,GRV,URMG,2020-08-03,5,5
Грозный,Грозный,GRV,URMG,2020-08-02,5,4
Грозный,Грозный,GRV,URMG,2020-08-01,5,5
Грозный,Грозный,GRV,URMG,2020-07-31,5,5
Грозный,Грозный,GRV,URMG,2020-07-30,5,4
Грозный,Грозный,GRV,URMG,2020-07-29,4,5
